"poste","tranche_anciennete","nb_employes"
"Analyste","< 1 год","3"
"Analyste","> 5 лет","134"
"Analyste","1-2 года","37"
"Analyste","3-5 лет","116"
"Developpeur","< 1 год","3"
"Developpeur","> 5 лет","140"
"Developpeur","1-2 года","38"
"Developpeur","3-5 лет","133"
"Finance","< 1 год","8"
"Finance","> 5 лет","135"
"Finance","1-2 года","44"
"Finance","3-5 лет","129"
"Manager","< 1 год","5"
"Manager","> 5 лет","118"
"Manager","1-2 года","31"
"Manager","3-5 лет","121"
"RH","< 1 год","5"
"RH","> 5 лет","142"
"RH","1-2 года","40"
"RH","3-5 лет","118"
