"departement_id","departement","cohorte_embauche","nb_employes","nb_actifs","nb_departs","retention_pct","salaire_moyen","anciennete_moyenne","score_moyen"
"4","Data & Analytics","2019","23","20","3","86,96","2691,87","6,4","74,61"
"4","Data & Analytics","2020","42","36","6","85,71","2762,55","5,71","74,75"
"4","Data & Analytics","2021","34","29","5","85,29","2723,44","4,78","73,97"
"4","Data & Analytics","2022","21","18","3","85,71","2968,48","3,76","75,92"
"4","Data & Analytics","2023","32","31","1","96,88","2770,88","3,17","74,64"
"10","Direction Générale","2019","23","18","5","78,26","2709,43","5,98","74,2"
"10","Direction Générale","2020","26","23","3","88,46","2893,69","5,51","74,93"
"10","Direction Générale","2021","30","27","3","90","3205,67","4,83","74,02"
"10","Direction Générale","2022","24","20","4","83,33","2978,62","3,71","76,08"
"10","Direction Générale","2023","27","24","3","88,89","3417,56","3","73,04"
"2","Finance","2019","26","22","4","84,62","3148,5","6,41","73,87"
"2","Finance","2020","28","27","1","96,43","3274","5,9","74,85"
"2","Finance","2021","29","26","3","89,66","2902,24","4,83","75,5"
"2","Finance","2022","30","26","4","86,67","2919,37","3,73","74,46"
"2","Finance","2023","26","25","1","96,15","3037,08","3,09","74,18"
"3","Informatique","2019","26","22","4","84,62","3003,5","6,57","75,42"
"3","Informatique","2020","25","21","4","84","3043,96","5,48","73,25"
"3","Informatique","2021","36","31","5","86,11","3063,31","4,83","74,44"
"3","Informatique","2022","39","36","3","92,31","3103,49","3,89","73,7"
"3","Informatique","2023","33","31","2","93,94","2720,45","3,09","74,4"
"9","Juridique","2019","24","20","4","83,33","3216,42","6,4","74,27"
"9","Juridique","2020","35","27","8","77,14","3292,89","5,41","74,11"
"9","Juridique","2021","45","41","4","91,11","2851,36","4,84","74,37"
"9","Juridique","2022","29","29","0","100","2834,97","4,09","75,26"
"9","Juridique","2023","28","24","4","85,71","2576,82","2,74","74,54"
"5","Marketing","2019","27","25","2","92,59","3117,56","6,9","72,78"
"5","Marketing","2020","23","21","2","91,3","2520,57","5,71","73,36"
"5","Marketing","2021","34","29","5","85,29","2500,24","4,78","73,73"
"5","Marketing","2022","35","29","6","82,86","2343,57","3,76","74,35"
"5","Marketing","2023","31","31","0","100","3062,26","3,04","74,62"
"8","Opérations","2019","30","25","5","83,33","2673,57","6,32","75,44"
"8","Opérations","2020","29","23","6","79,31","3142,34","5,38","73,26"
"8","Opérations","2021","26","22","4","84,62","2544,5","4,78","75,12"
"8","Opérations","2022","32","26","6","81,25","2644,59","3,66","74,93"
"8","Opérations","2023","33","33","0","100","2882,48","3,03","75,51"
"1","Ressources Humaines","2019","47","42","5","89,36","2718,68","6,62","74,67"
"1","Ressources Humaines","2020","22","18","4","81,82","2834,05","5,38","74,2"
"1","Ressources Humaines","2021","37","34","3","91,89","2930,97","4,86","74,73"
"1","Ressources Humaines","2022","34","33","1","97,06","2655,53","4,05","73,67"
"1","Ressources Humaines","2023","24","24","0","100","3395,67","3,19","75,39"
"7","Service Client","2019","23","21","2","91,3","2767,57","6,87","73"
"7","Service Client","2020","23","18","5","78,26","2997,3","5,33","73,9"
"7","Service Client","2021","31","30","1","96,77","2885,35","5,03","75,98"
"7","Service Client","2022","36","32","4","88,89","3251,08","3,87","75,93"
"7","Service Client","2023","23","22","1","95,65","3212,39","2,86","73,64"
"6","Ventes","2019","31","30","1","96,77","2807,03","6,95","74,14"
"6","Ventes","2020","35","32","3","91,43","3082,66","5,75","74,29"
"6","Ventes","2021","29","27","2","93,1","2737,24","4,9","72,1"
"6","Ventes","2022","37","32","5","86,49","2876,16","3,99","76,33"
"6","Ventes","2023","27","23","4","85,19","3126,41","2,83","74,75"
