"departement_id","departement","nb_embauches","premiere_embauche","derniere_embauche"
"1","Ressources Humaines","164","2019-01-09","2023-12-25"
"9","Juridique","161","2019-01-10","2023-12-12"
"3","Informatique","159","2019-01-02","2023-12-16"
"6","Ventes","159","2019-01-04","2023-12-22"
"4","Data & Analytics","152","2019-01-14","2023-12-18"
"8","Opérations","150","2019-01-02","2023-12-21"
"5","Marketing","150","2019-01-01","2023-12-30"
"2","Finance","139","2019-01-22","2023-12-08"
"7","Service Client","136","2019-01-13","2023-12-29"
"10","Direction Générale","130","2019-01-01","2023-12-29"
