"departement_id","departement","salaire_moyen","salaire_min","salaire_max","nb_employes"
"10","Direction Générale","3057,57","811","4980","130"
"2","Finance","3052,11","915","4935","139"
"7","Service Client","3036,49","843","4938","136"
"3","Informatique","2989,18","802","4999","159"
"9","Juridique","2951,06","875","4988","161"
"6","Ventes","2925,3","815","4980","159"
"1","Ressources Humaines","2868,03","926","4982","164"
"8","Opérations","2781,61","816","4931","150"
"4","Data & Analytics","2773,31","834","4998","152"
"5","Marketing","2694,07","818","4906","150"
