"departement_id","departement","effectif_total","employes_actifs","departs_jusqu_au_2026_08_01","departs_12_derniers_mois","taux_turnover_reference_pct","taux_turnover_12_mois_pct"
"10","Direction Générale","130","112","19","2","14,62","1,54"
"4","Data & Analytics","152","134","19","0","12,5","0"
"9","Juridique","161","141","20","3","12,42","1,86"
"8","Opérations","150","129","18","4","12","2,67"
"3","Informatique","159","141","19","5","11,95","3,14"
"5","Marketing","150","135","16","2","10,67","1,33"
"7","Service Client","136","123","13","4","9,56","2,94"
"1","Ressources Humaines","164","151","15","2","9,15","1,22"
"6","Ventes","159","144","14","2","8,81","1,26"
"2","Finance","139","126","11","0","7,91","0"
